specification,cohort,feature,log_hr,hr_per_sd
unadjusted,CODE_discovery,rs_diff_I,-0.2702901146466592,0.7631580588869735
unadjusted,CODE_discovery,rs_diff_2_I,-0.17826879222245487,0.836717490106218
unadjusted,CODE_discovery,rs_diff_II,-0.07782995345310083,0.9251217269240918
unadjusted,CODE_discovery,rs_diff_2_II,-0.042122850465403906,0.9587519902091282
unadjusted,CODE_discovery,rs_diff_III,-0.16181121471954615,0.8506017704773075
unadjusted,CODE_discovery,rs_diff_2_III,-0.13154194580697387,0.8767424986948773
unadjusted,CODE_discovery,rs_diff_aVR,-0.19319361807904412,0.8243223549761454
unadjusted,CODE_discovery,rs_diff_2_aVR,-0.10582346778478079,0.8995834395169617
unadjusted,CODE_discovery,rs_diff_aVL,-0.2519867033709017,0.7772550728726557
unadjusted,CODE_discovery,rs_diff_2_aVL,-0.17391142643112095,0.8403713290498533
unadjusted,CODE_discovery,rs_diff_aVF,-0.058927871821012355,0.9427747673319412
unadjusted,CODE_discovery,rs_diff_2_aVF,-0.030456587542862644,0.9700025413469197
unadjusted,CODE_discovery,rs_diff_V1,-0.2830382908840165,0.7534909354733114
unadjusted,CODE_discovery,rs_diff_2_V1,-0.21803950288636598,0.8040936770180153
unadjusted,CODE_discovery,rs_diff_V2,-0.21462288438341404,0.8068456569086762
unadjusted,CODE_discovery,rs_diff_2_V2,-0.10960817646504131,0.8961852129699127
unadjusted,CODE_discovery,rs_diff_V3,-0.18169215460406202,0.8338580002541779
unadjusted,CODE_discovery,rs_diff_2_V3,-0.11270236961188455,0.8934165284569175
unadjusted,CODE_discovery,rs_diff_V4,-0.14020294122259883,0.8691818246767469
unadjusted,CODE_discovery,rs_diff_2_V4,-0.08541739157361442,0.9181289851121983
unadjusted,CODE_discovery,rs_diff_V5,-0.10940929808704619,0.8963634625558581
unadjusted,CODE_discovery,rs_diff_2_V5,-0.0202574336317743,0.9799463696795385
unadjusted,CODE_discovery,rs_diff_V6,-0.1894817893148899,0.8273877840586635
unadjusted,CODE_discovery,rs_diff_2_V6,-0.12501096463054967,0.8824872263851454
unadjusted,CODE_replication_corrected,rs_diff_I,-0.29868137015702395,0.7417957300405955
unadjusted,CODE_replication_corrected,rs_diff_2_I,-0.28299057195833277,0.7535268921091638
unadjusted,CODE_replication_corrected,rs_diff_II,-0.038303942336183894,0.9624203761345307
unadjusted,CODE_replication_corrected,rs_diff_2_II,-0.03733061337099315,0.9633575837950032
unadjusted,CODE_replication_corrected,rs_diff_III,-0.09297396177523436,0.9112172264661986
unadjusted,CODE_replication_corrected,rs_diff_2_III,-0.13327893574239277,0.875220927658044
unadjusted,CODE_replication_corrected,rs_diff_aVR,-0.15181397981567832,0.859148084762363
unadjusted,CODE_replication_corrected,rs_diff_2_aVR,-0.10343380612217219,0.9017357101497938
unadjusted,CODE_replication_corrected,rs_diff_aVL,-0.2614297469613564,0.7699499648489797
unadjusted,CODE_replication_corrected,rs_diff_2_aVL,-0.27414653233899006,0.7602206701859073
unadjusted,CODE_replication_corrected,rs_diff_aVF,-0.043764641181454345,0.957179211532605
unadjusted,CODE_replication_corrected,rs_diff_2_aVF,-0.06753509901608608,0.9346949131684835
unadjusted,CODE_replication_corrected,rs_diff_V1,-0.26270010559343593,0.7689724732787487
unadjusted,CODE_replication_corrected,rs_diff_2_V1,-0.2505145680423502,0.7784001401649372
unadjusted,CODE_replication_corrected,rs_diff_V2,-0.17845364299999128,0.8365628365219515
unadjusted,CODE_replication_corrected,rs_diff_2_V2,-0.10223365174876119,0.9028185818826359
unadjusted,CODE_replication_corrected,rs_diff_V3,-0.1517734896433957,0.8591828725206078
unadjusted,CODE_replication_corrected,rs_diff_2_V3,-0.06971230272421482,0.9326621056585837
unadjusted,CODE_replication_corrected,rs_diff_V4,-0.05302365999447315,0.9483575740818917
unadjusted,CODE_replication_corrected,rs_diff_2_V4,-0.04500368141669626,0.955993962414487
unadjusted,CODE_replication_corrected,rs_diff_V5,-0.08712465453269413,0.9165628347998781
unadjusted,CODE_replication_corrected,rs_diff_2_V5,-0.0641885278076665,0.9378281761731715
unadjusted,CODE_replication_corrected,rs_diff_V6,-0.19579260301840706,0.8221827352145284
unadjusted,CODE_replication_corrected,rs_diff_2_V6,-0.15749653091810872,0.8542797771698442
age_sex,CODE_discovery,rs_diff_I,-0.11780226590541386,0.8888717954985508
age_sex,CODE_discovery,rs_diff_2_I,-0.03836717345048083,0.9623595231456471
age_sex,CODE_discovery,rs_diff_II,-0.06676519628173852,0.9354148144293271
age_sex,CODE_discovery,rs_diff_2_II,-0.04407507461814031,0.9568821172168351
age_sex,CODE_discovery,rs_diff_III,-0.10015820282568694,0.904694281522238
age_sex,CODE_discovery,rs_diff_2_III,-0.05779863203282618,0.9438399874417801
age_sex,CODE_discovery,rs_diff_aVR,-0.09686582300730794,0.9076777874388172
age_sex,CODE_discovery,rs_diff_2_aVR,-0.03146276470958613,0.9690270377851569
age_sex,CODE_discovery,rs_diff_aVL,-0.12918769413113712,0.8788090027725844
age_sex,CODE_discovery,rs_diff_2_aVL,-0.047682084507875595,0.9534368512463285
age_sex,CODE_discovery,rs_diff_aVF,-0.045794402404296594,0.9552383367083095
age_sex,CODE_discovery,rs_diff_2_aVF,-0.025640205916907886,0.9746857126812106
age_sex,CODE_discovery,rs_diff_V1,-0.1843901452466377,0.8316112913349204
age_sex,CODE_discovery,rs_diff_2_V1,-0.1170707924525243,0.8895222194749152
age_sex,CODE_discovery,rs_diff_V2,-0.18613656117506455,0.8301602195856917
age_sex,CODE_discovery,rs_diff_2_V2,-0.09883382527910346,0.9058932320715578
age_sex,CODE_discovery,rs_diff_V3,-0.15563963852333126,0.8558675565025383
age_sex,CODE_discovery,rs_diff_2_V3,-0.08973473383815304,0.914173652446684
age_sex,CODE_discovery,rs_diff_V4,-0.12156415831390718,0.8855342371427087
age_sex,CODE_discovery,rs_diff_2_V4,-0.057512319235649194,0.9441102595980143
age_sex,CODE_discovery,rs_diff_V5,-0.06315509488513013,0.9387978596512259
age_sex,CODE_discovery,rs_diff_2_V5,0.02324916235779732,1.0235215308166599
age_sex,CODE_discovery,rs_diff_V6,-0.09207986849318339,0.9120323039902425
age_sex,CODE_discovery,rs_diff_2_V6,-0.03194737379781287,0.968557552243577
age_sex,CODE_replication_corrected,rs_diff_I,-0.14579001812005724,0.8643391796964472
age_sex,CODE_replication_corrected,rs_diff_2_I,-0.12520556181972137,0.8823155135593694
age_sex,CODE_replication_corrected,rs_diff_II,-0.03517475045656205,0.9654366910130529
age_sex,CODE_replication_corrected,rs_diff_2_II,-0.03972030052566943,0.9610582090390423
age_sex,CODE_replication_corrected,rs_diff_III,-0.03494065374245227,0.9656627230257435
age_sex,CODE_replication_corrected,rs_diff_2_III,-0.0679085437002401,0.9343459214904543
age_sex,CODE_replication_corrected,rs_diff_aVR,-0.058515840711451134,0.9431632999036478
age_sex,CODE_replication_corrected,rs_diff_2_aVR,-0.030856356466019908,0.969614841975749
age_sex,CODE_replication_corrected,rs_diff_aVL,-0.1331927344795913,0.8752963760590655
age_sex,CODE_replication_corrected,rs_diff_2_aVL,-0.12886248391833513,0.8790948469125859
age_sex,CODE_replication_corrected,rs_diff_aVF,-0.035293034863665265,0.9653225016600038
age_sex,CODE_replication_corrected,rs_diff_2_aVF,-0.06011963424841917,0.9416518730312502
age_sex,CODE_replication_corrected,rs_diff_V1,-0.16816616017117444,0.8452133822159108
age_sex,CODE_replication_corrected,rs_diff_2_V1,-0.1488106305026922,0.8617322852583995
age_sex,CODE_replication_corrected,rs_diff_V2,-0.16023600038588284,0.8519427064318987
age_sex,CODE_replication_corrected,rs_diff_2_V2,-0.10465225290607837,0.9006376622661326
age_sex,CODE_replication_corrected,rs_diff_V3,-0.1221605947479084,0.885006229737201
age_sex,CODE_replication_corrected,rs_diff_2_V3,-0.051791312191933545,0.9495270008766048
age_sex,CODE_replication_corrected,rs_diff_V4,-0.03639862229550612,0.9642558429853578
age_sex,CODE_replication_corrected,rs_diff_2_V4,-0.016333255133864747,0.9837994092155203
