feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,cohort,subgroup,analysis,bonferroni_alpha_24,bonferroni_significant,trim_lower,trim_upper
rs_diff_I,I,rs_diff,28934,1037,0.9815497117899002,0.9232972291524355,1.0434774483177542,0.5507875154628676,0.807349457917606,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_I,I,rs_diff_2,28934,1037,1.0379808819642786,0.9827786059744351,1.0962838474236873,0.18124124025141516,0.8079145949458416,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_II,II,rs_diff,28934,1037,0.957752799291595,0.9081639924508634,1.010049321681862,0.11153393692349488,0.8077807674186476,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_II,II,rs_diff_2,28934,1037,0.9776461433262118,0.923032499164038,1.0354911473065653,0.44080788375467284,0.8074808363135835,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_III,III,rs_diff,28934,1037,0.9516583060284478,0.8967545850911308,1.0099235024718605,0.10220166234811814,0.8077246560730954,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_III,III,rs_diff_2,28934,1037,0.9961185453319459,0.9373036700354301,1.0586239956968533,0.9003291505136979,0.8074426561072957,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_aVR,aVR,rs_diff,28934,1037,0.9629809240819993,0.9104102475442143,1.0185872387171095,0.18784454984190338,0.8075261452410909,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_aVR,aVR,rs_diff_2,28934,1037,1.0130979903150386,0.9584393270198921,1.0708737726483837,0.6456144144292191,0.8075022224772429,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_aVL,aVL,rs_diff,28934,1037,0.9596827894636013,0.8948495672477855,1.0292132779649819,0.24886183257643238,0.8074646982882453,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_aVL,aVL,rs_diff_2,28934,1037,1.0281855704893577,0.9699276955531712,1.089942654704381,0.3503142428143249,0.8077383012327308,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_discovery,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
