cohort,subgroup,feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,bonferroni_alpha_24,bonferroni_significant,source_analysis_label
CODE_discovery,all,rs_diff_I,I,rs_diff,28934,1037,0.9637628174653144,0.9096654564704297,1.0210773221318585,0.2104661983187919,0.807514730540242,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_2_I,I,rs_diff_2,28934,1037,1.0136076440077477,0.9599840504320933,1.070226589211039,0.6259973530790519,0.8078776393051622,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_II,II,rs_diff,28934,1037,0.9551199691418293,0.9059331983395555,1.0069772883094679,0.08871578433982581,0.808053845549301,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_2_II,II,rs_diff_2,28934,1037,0.9687617750392593,0.9152412676137976,1.025411997892159,0.27372860549358335,0.8077656790209737,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_III,III,rs_diff,28934,1037,0.9404270089673509,0.8878230672120883,0.9961477594544258,0.036493512984234575,0.8080949997006375,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_2_III,III,rs_diff_2,28934,1037,0.9774791192341474,0.921710456965905,1.036622098965845,0.44727554855567164,0.8077053691647644,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_aVR,aVR,rs_diff,28934,1037,0.9553302288865476,0.9038683078463509,1.0097221445887519,0.10576894254398504,0.8078379283918642,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_2_aVR,aVR,rs_diff_2,28934,1037,0.9984664925838197,0.9450493783294895,1.0549029073749154,0.9563726389784548,0.8077117981342081,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_aVL,aVL,rs_diff,28934,1037,0.9385739010237709,0.8848352911191691,0.99557621234655,0.035087534328204995,0.8076936483225134,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
CODE_discovery,all,rs_diff_2_aVL,aVL,rs_diff_2,28934,1037,0.9947724092825981,0.9405894633106119,1.0520765805592673,0.8544695830257611,0.8076606287855751,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,0.0020833333333333333,False,FROZEN_DISCOVERY_28934
