feature,discovery_mean,discovery_sd,discovery_beta
rs_diff_I,0.0771124160699462,0.024373248288716575,-0.0369100546181316
rs_diff_2_I,0.02635988750180826,0.0161748844698887,0.0135158914404633
rs_diff_II,0.07745065585213802,0.026021916514353285,-0.0459183242531658
rs_diff_2_II,0.027135337919728015,0.017319992909419157,-0.0317365435092149
rs_diff_III,0.07992426384076338,0.030151289749990217,-0.0614212420062484
rs_diff_2_III,0.03114576945701813,0.021792943225496735,-0.0227783487480657
rs_diff_aVR,0.07715201608577697,0.024113973798329736,-0.0456982088627888
rs_diff_2_aVR,0.026239579847376474,0.015716762404695293,-0.0015346844421507
rs_diff_aVL,0.07647553780017147,0.02465739739402925,-0.0633936822903619
rs_diff_2_aVL,0.02750224200994625,0.018531930777847674,-0.0052413023765932
rs_diff_aVF,0.0797893985857054,0.03040170130370579,-0.0163008228216534
rs_diff_2_aVF,0.030171450395381483,0.02062608068941426,-0.0010490085266953
rs_diff_V1,0.07077702530038686,0.02633526557949171,-0.1226315276338742
rs_diff_2_V1,0.023087747416583624,0.01598597658898034,-0.0609720558203275
rs_diff_V2,0.07439487487994406,0.02832625097897922,-0.1404323872559899
rs_diff_2_V2,0.024604529063529227,0.01658881952835601,-0.0614019204777436
rs_diff_V3,0.07671662431484584,0.028155357501525875,-0.1111207964454008
rs_diff_2_V3,0.02538529172234142,0.0167376308619842,-0.050688736452027
rs_diff_V4,0.08344687117328686,0.027717281281295785,-0.0830858078701062
rs_diff_2_V4,0.029139827364215377,0.017328226527673678,-0.0235124986405702
rs_diff_V5,0.08400728428359507,0.02513081217535214,-0.0208778369373306
rs_diff_2_V5,0.029435788829374414,0.016934523495672933,0.0518160549615611
rs_diff_V6,0.07989156213303551,0.024242660730148018,-0.0366388496053177
rs_diff_2_V6,0.027410262002442072,0.016233582444401772,0.0099684835578089
