cohort,feature,n,pearson_r_with_aVL_QS_span,spearman_rho_with_aVL_QS_span,feature_median,feature_iqr,aVL_QS_span_median_ms
morphology_stratified_sample,rs_diff_aVL,74,-0.7598190169308762,-0.8093742327558215,0.07597366072054,0.027268329301880972,55.0
morphology_stratified_sample,rs_diff_V1,74,-0.28425372202352917,-0.18678551431735718,0.0738745700458873,0.03584495136855422,55.0
morphology_stratified_sample,rs_diff_V2,74,-0.16155857573508342,-0.06357440901392342,0.0751523530415886,0.04539127352970934,55.0
morphology_stratified_sample,rs_diff_V3,74,-0.22712836637668332,-0.07123478047215075,0.077049885320426,0.03354108210911749,55.0
CODE_discovery,rs_diff_aVL,28934,-0.7093180364747141,-0.8078500125315821,0.0747680065978149,0.028970211924169348,57.5
CODE_discovery,rs_diff_V1,28934,-0.269028346834578,-0.2696869018166212,0.07208658062176382,0.03908330130748902,57.5
CODE_discovery,rs_diff_V2,28934,-0.17014741192522892,-0.15172659137449487,0.07692307692305311,0.03614319921864019,57.5
CODE_discovery,rs_diff_V3,28934,-0.09328825707765705,-0.04493901127526761,0.08059216818993195,0.04061691865470473,57.5
CODE_replication_corrected,rs_diff_aVL,14447,-0.7069929903100254,-0.8025411641819326,0.07421407044659693,0.029414423094088808,57.5
CODE_replication_corrected,rs_diff_V1,14447,-0.2630940443877291,-0.25344558661042044,0.0714285714285438,0.039514244409602065,57.5
CODE_replication_corrected,rs_diff_V2,14447,-0.14823516212615478,-0.13423216845047692,0.07692307692303606,0.037204955661889264,57.5
CODE_replication_corrected,rs_diff_V3,14447,-0.08677067774403247,-0.04012379997119933,0.08027042017868723,0.04162430291134296,57.5
