feature,hr_per_sd_discovery,ci95_lower_discovery,ci95_upper_discovery,p_value_discovery,concordance_discovery,n_discovery,deaths_discovery,hr_per_sd_replication,ci95_lower_replication,ci95_upper_replication,p_value_replication,concordance_replication,n_replication,deaths_replication,discovery_log_hr,replication_log_hr,direction_concordant
rs_diff_I,0.9637628174653144,0.9096654564704297,1.0210773221318585,0.2104661983187919,0.807514730540242,28934,1037,0.9159573219836111,0.8440936770504611,0.9939392255928879,0.0352224485528113,0.8177625656240837,14447,536,-0.03691005461813163,-0.08778550711438328,True
rs_diff_2_I,1.0136076440077477,0.9599840504320933,1.070226589211039,0.6259973530790519,0.8078776393051622,28934,1037,0.9217037924206352,0.8388330884516231,1.0127615286739795,0.08985627020781657,0.8176614541506516,14447,536,0.013515891440463551,-0.08153137339769367,False
rs_diff_II,0.9551199691418293,0.9059331983395555,1.0069772883094679,0.08871578433982581,0.808053845549301,28934,1037,0.981734596852098,0.9102558144144559,1.0588263248571952,0.6326883558189293,0.8173483678623598,14447,536,-0.04591832425316571,-0.018434275128028234,True
rs_diff_2_II,0.9687617750392593,0.9152412676137976,1.025411997892159,0.27372860549358335,0.8077656790209737,28934,1037,0.9728996387865086,0.900244462910678,1.0514185270194034,0.48780975712303865,0.8172891723127701,14447,536,-0.03173654350921483,-0.027474348275869073,True
rs_diff_III,0.9404270089673509,0.8878230672120883,0.9961477594544258,0.036493512984234575,0.8080949997006375,28934,1037,1.006462474019985,0.9301065487127088,1.0890867428171545,0.8728629604269703,0.8172390442895627,14447,536,-0.06142124200624837,0.006441681766278546,False
rs_diff_2_III,0.9774791192341474,0.921710456965905,1.036622098965845,0.44727554855567164,0.8077053691647644,28934,1037,0.9656700440749465,0.8897711119504088,1.0480432793323626,0.4029191222431385,0.8172198827243776,14447,536,-0.02277834874806574,-0.03493307239828645,True
rs_diff_aVR,0.9553302288865476,0.9038683078463509,1.0097221445887519,0.10576894254398504,0.8078379283918642,28934,1037,0.9798110394172038,0.9077858332806116,1.057550842685447,0.600583989293985,0.8172375045209318,14447,536,-0.04569820886278886,-0.020395542830312478,True
rs_diff_2_aVR,0.9984664925838197,0.9450493783294895,1.0549029073749154,0.9563726389784548,0.8077117981342081,28934,1037,0.9931864421425628,0.9137289137418663,1.0795535678259947,0.8723283022715633,0.8171889162663554,14447,536,-0.0015346844421506457,-0.006836876123372231,True
rs_diff_aVL,0.9385739010237709,0.8848352911191691,0.99557621234655,0.035087534328204995,0.8076936483225134,28934,1037,0.9255117260753221,0.8503910607029431,1.00726829653509,0.07308726930101457,0.8174486239087745,14447,536,-0.06339368229036181,-0.07740847705930548,True
rs_diff_2_aVL,0.9947724092825981,0.9405894633106119,1.0520765805592673,0.8544695830257611,0.8076606287855751,28934,1037,0.9209559293343587,0.8371406204659758,1.013162906016916,0.09076862373581387,0.8174883157223722,14447,536,-0.005241302376593092,-0.08234309475732442,True
rs_diff_aVF,0.983831316622526,0.9326570588086213,1.0378134711205016,0.5497684257199386,0.8077937128265069,28934,1037,0.9894303251836118,0.9170378735691191,1.0675375539101555,0.7840060996508604,0.8172320297880218,14447,536,-0.01630082282165345,-0.010625930583832273,True
rs_diff_2_aVF,0.9989515414904082,0.9458041597019199,1.0550854233508158,0.970000788510725,0.8077156467689771,28934,1037,0.9655112673542307,0.8900291764715511,1.0473948855066213,0.3980842977438823,0.8174275804041516,14447,536,-0.0010490085266953056,-0.03509750721353029,True
rs_diff_V1,0.8845895493212894,0.8346227790980048,0.9375477046218477,3.56863048198089e-05,0.8093388522172794,28934,1037,0.8777660511126026,0.8099076431975151,0.9513100005378196,0.0014938449058283052,0.8188934401408101,14447,536,-0.12263152763387417,-0.13037517744445407,True
rs_diff_2_V1,0.9408495306769992,0.8827426153569893,1.0027813588869812,0.06085183394202744,0.807939567337354,28934,1037,0.8977497761306925,0.8179939545567617,0.9852819278834686,0.023066676007710382,0.8184729122191591,14447,536,-0.060972055820327546,-0.10786389524306864,True
rs_diff_V2,0.8689824172322775,0.8226003495107255,0.9179797235777933,5.224674991414998e-07,0.8107519134602983,28934,1037,0.8780904946328657,0.814109492178784,0.9470997748731131,0.0007571194340489228,0.8191476730503193,14447,536,-0.14043238725598997,-0.13000562160033718,True
rs_diff_2_V2,0.9404451796301531,0.8838640522360248,1.0006483843891107,0.052441672715088004,0.8082243663102583,28934,1037,0.9236827142692756,0.8481464930909108,1.0059462175343863,0.06818762111379563,0.8179923333209012,14447,536,-0.06140192047774377,-0.07938664913529436,True
rs_diff_V3,0.8948306500384212,0.8479151977717209,0.9443419511201603,5.2514566249259794e-05,0.8099890528208066,28934,1037,0.9163259105921024,0.8496578210345954,0.9882250873652086,0.02337216016568674,0.8181938719261513,14447,536,-0.11112079644540084,-0.087383179999328,True
rs_diff_2_V3,0.9505745036816292,0.8948142307210178,1.0098094733266423,0.10028687725869817,0.8081312993240266,28934,1037,0.9777346919510123,0.9016479502659969,1.060242112858483,0.5859266279078118,0.8173993513125843,14447,536,-0.050688736452027046,-0.022516921873052535,True
rs_diff_V4,0.9202721772366033,0.8716635572496609,0.9715914737424657,0.0026920738196367566,0.8089507086539308,28934,1037,0.9927342250063562,0.9203003050662596,1.070869189191473,0.8503675089844339,0.8172277526529358,14447,536,-0.0830858078701064,-0.007292299294602942,True
rs_diff_2_V4,0.9767617663983095,0.9203037304751311,1.0366833434489993,0.4389263540153435,0.8079085158522861,28934,1037,1.0095897953735822,0.9313817138956112,1.0943650060073127,0.8165389861221627,0.8172178296995364,14447,536,-0.023512498640570388,0.009544105160209562,False
rs_diff_V5,0.9793385962643335,0.9278995267151819,1.0336292438129366,0.4481992766454066,0.8078265136910152,28934,1037,0.9846730698332944,0.9133792895599016,1.061531682990209,0.6871051590412873,0.8172665890395163,14447,536,-0.02087783693733079,-0.0154456017026505,True
rs_diff_2_V5,1.0531819970917184,1.0014617348774302,1.107573340417101,0.043714613707252284,0.8082750983140312,28934,1037,1.0019955424182865,0.9248426427716301,1.0855847477115421,0.9611067008288692,0.8172132103936436,14447,536,0.05181605496156119,0.001993553968432798,True
rs_diff_V6,0.964024230219197,0.9132628403287821,1.0176070627325033,0.18432646471857572,0.8079368120647352,28934,1037,0.938983290950565,0.8709758676690923,1.012300860922741,0.10074597602201517,0.8176648758587204,14447,536,-0.03663884960531773,-0.06295759444703868,True
rs_diff_2_V6,1.0100183343980962,0.955547565990123,1.06759419638441,0.7245235857334393,0.8077689153729386,28934,1037,0.9705325356226007,0.8911026496915357,1.0570425337957354,0.4923520486759845,0.8173398135921879,14447,536,0.009968483557808907,-0.029910352336759878,False
