lead,time_ms,score_group,median_normalized_amplitude,q25_normalized_amplitude,q75_normalized_amplitude,n_waveforms
I,-500.0,Lower quintile,0.16027146996341524,0.09462738478817673,0.29107792769811,323
I,-497.5,Lower quintile,0.15898842006693437,0.0960551126130698,0.2807613513013344,323
I,-495.0,Lower quintile,0.156848303801242,0.09557392890163571,0.28495168902007206,323
I,-492.5,Lower quintile,0.15842980868795425,0.09059957239689906,0.2942169130647889,323
I,-490.0,Lower quintile,0.16097950896387972,0.0857363895034631,0.2931949189132509,323
I,-487.5,Lower quintile,0.15968065093840916,0.08582801678367681,0.2894909108081344,323
I,-485.0,Lower quintile,0.16009958611738992,0.08722142129390842,0.2966683568069949,323
I,-482.5,Lower quintile,0.16602107483623713,0.09009979109962146,0.2946912616398319,323
I,-480.0,Lower quintile,0.16268434368000045,0.08813305207086891,0.29400770770415147,323
I,-477.5,Lower quintile,0.16303550933793345,0.0866428974633874,0.2879916196951602,323
I,-475.0,Lower quintile,0.15950819526937526,0.08924108074067713,0.2904145350094599,323
I,-472.5,Lower quintile,0.16031376247579165,0.08782201175871165,0.2960138370567197,323
I,-470.0,Lower quintile,0.16002861684546063,0.0886518379428855,0.29668478353364924,323
I,-467.5,Lower quintile,0.1571246526967985,0.08982349536886022,0.2870304115130372,323
I,-465.0,Lower quintile,0.15902749804884636,0.0887626176112098,0.287131203717677,323
I,-462.5,Lower quintile,0.15829060674312748,0.08982007493926125,0.2943626001378782,323
I,-460.0,Lower quintile,0.1577552334862984,0.08538909537156375,0.27935084873663946,323
I,-457.5,Lower quintile,0.15575536003925433,0.08690840365972463,0.2878699199409587,323
I,-455.0,Lower quintile,0.1538398010024338,0.0854298640695427,0.28499756357004136,323
I,-452.5,Lower quintile,0.15267659422189142,0.08303394829353256,0.2802164088668677,323
I,-450.0,Lower quintile,0.15537612160547323,0.08369138794173024,0.286272360434893,323
I,-447.5,Lower quintile,0.15298468853936328,0.08433815139019653,0.2798875673639364,323
I,-445.0,Lower quintile,0.15358456358456357,0.0848628874818116,0.28454055145993784,323
I,-442.5,Lower quintile,0.15087797849727158,0.08483923906368263,0.28708749278569323,323
I,-440.0,Lower quintile,0.15069336171242498,0.0862837528185089,0.2882984459663392,323
I,-437.5,Lower quintile,0.15098796385344257,0.08679849291512229,0.2807388705957188,323
I,-435.0,Lower quintile,0.15098809062432744,0.08685628194873213,0.28953151437187263,323
I,-432.5,Lower quintile,0.15147198900831874,0.08577526714868977,0.28489576068206157,323
I,-430.0,Lower quintile,0.1448415472735314,0.08440416947329356,0.28384105716734576,323
I,-427.5,Lower quintile,0.14640074101400505,0.08123030214343482,0.28746019705978854,323
I,-425.0,Lower quintile,0.14806894694198589,0.08112577341461188,0.28958582915277475,323
I,-422.5,Lower quintile,0.14438188722308842,0.07889259803283963,0.29223984289447325,323
I,-420.0,Lower quintile,0.14675060484044963,0.07979544497134357,0.2812787597678119,323
I,-417.5,Lower quintile,0.14507899994734658,0.08050166697044435,0.2857859058903652,323
I,-415.0,Lower quintile,0.14436489216358608,0.07749076283851677,0.2866509352700032,323
I,-412.5,Lower quintile,0.1455206136794002,0.07897479566822108,0.2838410099897919,323
I,-410.0,Lower quintile,0.1465285241524238,0.07774068668130449,0.28205926789547986,323
I,-407.5,Lower quintile,0.1460760229885614,0.07969493629436429,0.27748969556488623,323
I,-405.0,Lower quintile,0.14382431922491715,0.07966048884040494,0.276705783580396,323
